Node                                                                              | Description                                                                                                        | Type   | Player default | OP default     | Variants                                                                                                                                    
serverutilities.claims.block.interact.natura.door.hopseed                         |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.natura.door.redwood                         |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.natura.door.redwoodbark                     |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.natura.door.sakura                          |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.natura.natura.workbench                     |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.opensecurity.securitydoor                   |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.opensecurity.securitydoorprivate            |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.railcraft.anvil                             |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.thaumicbases.thaumicanvil                   |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.thaumicbases.voidanvil                      |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.witchery.alderwooddoor                      |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.witchery.icedoor                            |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.witchery.rowanwooddoor                      |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.bypass_limits                                              | Allow to bypass claiming and loading limits                                                                        | bool   | false          | false          | [true, false]                                                                                                                               
serverutilities.claims.item                                                       | Permission for items that players can right-click in air within claimed chunks                                     | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.item.awwayoftime.bucketlife                                |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.awwayoftime.lavasigil                                 |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.awwayoftime.voidsigil                                 |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.awwayoftime.watersigil                                |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.buildcraft|energy.bucketfuel                          |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.buildcraft|energy.bucketoil                           |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.dreamcraft.dreamcraft_concrete_bucket                 |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.dreamcraft.dreamcraft_enrichedbacterialsludge_bucket  |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.dreamcraft.dreamcraft_fermentedbacterialsludge_bucket |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.dreamcraft.dreamcraft_nitricacid_bucket               |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.dreamcraft.dreamcraft_pollution_bucket                |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.dreamcraft.dreamcraft_sodiumpotassium_bucket          |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketcloud_seed                              |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketcloud_seed_concentrated                 |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketender_distillation                      |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketfire_water                              |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.buckethootch                                  |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketliquid_sunshine                         |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketnutrient_distillation                   |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketrocket_fuel                             |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.enderio.bucketvapor_of_levity                         |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.galacticraftcore.item.bucketfuel                      |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.galacticraftcore.item.bucketoil                       |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.galacticraftmars.item.bucketsludge                    |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.galaxyspace.item.methanebucket                        |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.galaxyspace.item.unknowwaterbucket                    |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.item.gendustry.liquiddnabucket                             |                                                                                                                    | bool   | false          | true           | [true, false]                                                                                                                               
